iter	Passed	Remaining
0	6	6597
1	15	7735
2	23	7728
3	32	7994
4	38	7740
5	48	8048
6	55	7908
7	64	7947
8	70	7810
9	79	7849
10	86	7741
11	93	7683
12	100	7602
13	106	7525
14	118	7804
15	126	7791
16	134	7757
17	142	7766
18	149	7721
19	156	7644
20	163	7635
21	170	7582
22	178	7567
23	184	7511
24	192	7507
25	199	7461
26	205	7414
27	212	7390
28	219	7344
29	227	7347
30	233	7308
31	241	7307
32	249	7311
33	257	7307
34	263	7276
35	270	7248
36	277	7226
37	284	7197
38	291	7192
39	298	7161
40	305	7154
41	312	7125
42	318	7096
43	326	7093
44	333	7074
45	340	7068
46	347	7044
47	354	7037
48	361	7015
49	368	6994
50	376	7003
51	382	6979
52	391	6988
53	397	6965
54	406	6978
55	413	6970
56	421	6972
57	428	6952
58	435	6952
59	442	6930
60	448	6911
61	456	6908
62	463	6890
63	471	6889
64	477	6870
65	485	6863
66	491	6844
67	498	6827
68	505	6827
69	512	6809
70	520	6807
71	526	6788
72	534	6786
73	541	6778
74	550	6787
75	557	6773
76	563	6757
77	571	6756
78	578	6741
79	585	6737
80	592	6724
81	600	6717
82	606	6702
83	613	6686
84	621	6689
85	628	6674
86	636	6681
87	643	6665
88	650	6660
89	657	6644
90	665	6643
91	671	6628
92	678	6613
93	685	6608
94	692	6593
95	703	6622
96	709	6609
97	717	6604
98	724	6590
99	732	6594
100	739	6578
101	746	6572
102	752	6557
103	759	6544
104	767	6541
105	773	6527
106	781	6522
107	788	6508
108	795	6506
109	802	6493
110	808	6479
111	821	6513
112	830	6522
113	840	6530
114	849	6537
115	857	6537
116	867	6544
117	874	6535
118	883	6541
119	890	6532
120	900	6544
121	908	6534
122	917	6544
123	926	6547
124	934	6539
125	942	6539
126	950	6531
127	960	6542
128	967	6531
129	975	6526
130	982	6515
131	989	6507
132	996	6495
133	1003	6483
134	1011	6479
135	1018	6467
136	1026	6465
137	1032	6452
138	1089	6745
139	1102	6773
140	1116	6803
141	1127	6809
142	1151	6903
143	1160	6899
144	1167	6882
145	1174	6870
146	1181	6853
147	1186	6832
148	1193	6817
149	1200	6801
150	1208	6792
151	1214	6776
152	1221	6764
153	1228	6748
154	1235	6733
155	1242	6720
156	1248	6704
157	1256	6696
158	1263	6683
159	1271	6673
160	1277	6657
161	1284	6644
162	1291	6631
163	1297	6616
164	1305	6607
165	1312	6592
166	1319	6581
167	1325	6566
168	1332	6551
169	1340	6542
170	1346	6529
171	1354	6519
172	1360	6504
173	1368	6494
174	1374	6480
175	1381	6466
176	1390	6465
177	1397	6452
178	1406	6449
179	1412	6434
180	1420	6425
181	1426	6412
182	1434	6405
183	1441	6392
184	1448	6381
185	1455	6368
186	1461	6354
187	1469	6345
188	1475	6331
189	1483	6322
190	1489	6308
191	1495	6295
192	1503	6286
193	1510	6274
194	1517	6264
195	1523	6251
196	1530	6240
197	1537	6227
198	1543	6214
199	1552	6208
200	1558	6195
201	1566	6188
202	1573	6175
203	1580	6168
204	1587	6157
205	1594	6144
206	1601	6136
207	1608	6124
208	1615	6115
209	1622	6103
210	1629	6094
211	1636	6081
212	1642	6069
213	1650	6060
214	1656	6048
215	1664	6042
216	1671	6030
217	1678	6021
218	1684	6009
219	1691	5997
220	1699	5989
221	1705	5977
222	1713	5970
223	1720	5959
224	1727	5949
225	1733	5937
226	1740	5926
227	1748	5921
228	1755	5909
229	1762	5901
230	1769	5889
231	1776	5880
232	1783	5869
233	1789	5857
234	1796	5849
235	1803	5838
236	1812	5833
237	1817	5817
238	1824	5809
239	1831	5799
240	1838	5788
241	1847	5787
242	1854	5778
243	1862	5771
244	1869	5761
245	1877	5754
246	1884	5744
247	1892	5737
248	1898	5727
249	1906	5719
250	1912	5707
251	1919	5696
252	1928	5692
253	1934	5681
254	1942	5674
255	1948	5663
256	1956	5655
257	1962	5643
258	1968	5632
259	1976	5624
260	1982	5613
261	1990	5606
262	1997	5596
263	2004	5587
264	2010	5577
265	2017	5566
266	2025	5560
267	2031	5549
268	2039	5542
269	2046	5532
270	2052	5522
271	2059	5512
272	2066	5502
273	2073	5494
274	2079	5483
275	2087	5474
276	2093	5464
277	2099	5453
278	2107	5446
279	2114	5436
280	2121	5429
281	2128	5418
282	2135	5410
283	2142	5400
284	2148	5390
285	2156	5383
286	2162	5373
287	2170	5365
288	2177	5356
289	2185	5350
290	2192	5341
291	2198	5331
292	2205	5321
293	2212	5311
294	2219	5304
295	2226	5294
296	2233	5286
297	2239	5276
298	2246	5266
299	2255	5262
300	2261	5252
301	2269	5245
302	2276	5235
303	2283	5228
304	2290	5218
305	2297	5210
306	2304	5201
307	2310	5191
308	2318	5184
309	2324	5174
310	2332	5167
311	2338	5157
312	2345	5148
313	2352	5140
314	2359	5130
315	2367	5124
316	2374	5115
317	2381	5107
318	2387	5097
319	2395	5090
320	2402	5081
321	2408	5071
322	2417	5066
323	2423	5057
324	2431	5049
325	2437	5040
326	2446	5034
327	2452	5025
328	2459	5015
329	2466	5007
330	2472	4997
331	2480	4990
332	2486	4980
333	2494	4973
334	2501	4965
335	2507	4956
336	2515	4948
337	2521	4939
338	2529	4931
339	2535	4922
340	2542	4913
341	2549	4904
342	2555	4895
343	2563	4888
344	2570	4879
345	2577	4872
346	2584	4863
347	2591	4855
348	2598	4846
349	2605	4838
350	2613	4832
351	2619	4822
352	2627	4815
353	2633	4806
354	2640	4797
355	2647	4788
356	2653	4779
357	2661	4772
358	2667	4763
359	2675	4756
360	2681	4746
361	2688	4738
362	2695	4730
363	2702	4721
364	2712	4718
365	2718	4709
366	2727	4704
367	2733	4695
368	2741	4688
369	2748	4679
370	2755	4671
371	2761	4662
372	2768	4653
373	2776	4647
374	2782	4637
375	2790	4631
376	2798	4624
377	2806	4617
378	2813	4609
379	2821	4602
380	2827	4594
381	2834	4585
382	2842	4579
383	2849	4570
384	2858	4566
385	2865	4557
386	2873	4550
387	2879	4542
388	2887	4534
389	2893	4526
390	2900	4517
391	2907	4509
392	2913	4500
393	2921	4493
394	2928	4485
395	2935	4477
396	2941	4468
397	2948	4459
398	2955	4451
399	2961	4442
400	2970	4436
401	2976	4428
402	2984	4420
403	2990	4411
404	2997	4403
405	3005	4397
406	3012	4388
407	3019	4381
408	3025	4372
409	3033	4365
410	3040	4356
411	3046	4347
412	3054	4340
413	3060	4332
414	3068	4324
415	3074	4316
416	3081	4308
417	3088	4299
418	3094	4291
419	3102	4284
420	3108	4275
421	3116	4268
422	3124	4261
423	3131	4254
424	3138	4245
425	3144	4236
426	3152	4230
427	3158	4221
428	3166	4214
429	3172	4205
430	3180	4198
431	3186	4189
432	3193	4181
433	3200	4174
434	3207	4165
435	3214	4158
436	3221	4149
437	3227	4141
438	3234	4133
439	3240	4124
440	3248	4117
441	3255	4109
442	3263	4102
443	3269	4094
444	3276	4086
445	3283	4078
446	3289	4069
447	3297	4062
448	3303	4054
449	3310	4046
450	3317	4038
451	3323	4029
452	3331	4022
453	3337	4014
454	3345	4007
455	3351	3998
456	3359	3991
457	3365	3983
458	3372	3974
459	3380	3967
460	3386	3959
461	3394	3953
462	3401	3944
463	3408	3937
464	3415	3929
465	3421	3920
466	3429	3913
467	3435	3905
468	3442	3897
469	3449	3889
470	3456	3882
471	3463	3874
472	3469	3865
473	3477	3858
474	3483	3850
475	3491	3843
476	3498	3835
477	3506	3828
478	3512	3820
479	3519	3812
480	3529	3807
481	3535	3799
482	3545	3794
483	3551	3786
484	3559	3779
485	3566	3771
486	3573	3764
487	3580	3756
488	3586	3748
489	3593	3740
490	3600	3732
491	3607	3725
492	3614	3716
493	3621	3709
494	3627	3701
495	3634	3692
496	3641	3685
497	3648	3677
498	3655	3670
499	3662	3662
500	3670	3655
501	3676	3647
502	3683	3639
503	3690	3631
504	3696	3623
505	3704	3616
506	3710	3608
507	3717	3600
508	3724	3592
509	3730	3584
510	3738	3577
511	3745	3569
512	3753	3562
513	3759	3554
514	3767	3548
515	3775	3540
516	3782	3533
517	3789	3526
518	3796	3518
519	3804	3511
520	3811	3504
521	3819	3497
522	3826	3489
523	3833	3482
524	3840	3474
525	3847	3466
526	3854	3459
527	3861	3451
528	3868	3444
529	3875	3436
530	3883	3429
531	3889	3421
532	3895	3413
533	3902	3405
534	3909	3397
535	3917	3391
536	3923	3382
537	3931	3376
538	3938	3368
539	3946	3361
540	3953	3354
541	3959	3345
542	3967	3338
543	3973	3330
544	3981	3323
545	3987	3315
546	3995	3308
547	4001	3300
548	4008	3292
549	4017	3286
550	4023	3278
551	4030	3271
552	4037	3263
553	4044	3255
554	4050	3248
555	4057	3240
556	4065	3233
557	4071	3224
558	4079	3218
559	4085	3210
560	4093	3202
561	4099	3195
562	4106	3187
563	4113	3180
564	4120	3172
565	4128	3165
566	4134	3157
567	4141	3149
568	4148	3142
569	4154	3134
570	4162	3127
571	4168	3119
572	4176	3112
573	4183	3104
574	4189	3096
575	4196	3089
576	4203	3081
577	4210	3074
578	4217	3066
579	4224	3058
580	4230	3051
581	4237	3043
582	4244	3036
583	4251	3028
584	4259	3021
585	4265	3013
586	4273	3006
587	4279	2998
588	4286	2990
589	4293	2983
590	4300	2976
591	4308	2969
592	4314	2961
593	4321	2953
594	4328	2946
595	4334	2938
596	4344	2932
597	4350	2924
598	4358	2917
599	4364	2909
600	4372	2902
601	4378	2895
602	4386	2887
603	4392	2879
604	4399	2872
605	4407	2865
606	4413	2857
607	4420	2850
608	4427	2842
609	4433	2834
610	4441	2827
611	4447	2819
612	4455	2812
613	4461	2804
614	4468	2797
615	4475	2789
616	4481	2781
617	4490	2775
618	4496	2767
619	4504	2760
620	4510	2752
621	4518	2745
622	4524	2738
623	4531	2730
624	4540	2724
625	4546	2716
626	4553	2709
627	4560	2701
628	4568	2694
629	4574	2686
630	4581	2679
631	4588	2671
632	4595	2664
633	4602	2657
634	4609	2649
635	4616	2642
636	4622	2634
637	4629	2626
638	4637	2619
639	4643	2612
640	4651	2604
641	4657	2597
642	4664	2589
643	4671	2582
644	4677	2574
645	4685	2567
646	4691	2559
647	4699	2552
648	4706	2545
649	4713	2537
650	4719	2530
651	4726	2522
652	4734	2515
653	4740	2507
654	4748	2501
655	4757	2494
656	4766	2488
657	4772	2480
658	4781	2473
659	4788	2466
660	4796	2459
661	4803	2452
662	4811	2445
663	4818	2438
664	4825	2430
665	4834	2424
666	4841	2417
667	4850	2410
668	4857	2403
669	4866	2396
670	4873	2389
671	4882	2382
672	4889	2375
673	4897	2368
674	4904	2361
675	4912	2354
676	4919	2347
677	4926	2339
678	4934	2332
679	4942	2325
680	4949	2318
681	4956	2311
682	4965	2304
683	4971	2296
684	4980	2290
685	4987	2282
686	4995	2275
687	5001	2268
688	5008	2260
689	5015	2253
690	5022	2245
691	5029	2238
692	5035	2230
693	5043	2223
694	5050	2216
695	5057	2209
696	5064	2201
697	5070	2193
698	5078	2186
699	5085	2179
700	5093	2172
701	5100	2165
702	5108	2158
703	5115	2150
704	5123	2143
705	5130	2136
706	5138	2129
707	5146	2122
708	5152	2114
709	5161	2108
710	5168	2100
711	5177	2094
712	5184	2086
713	5194	2080
714	5201	2073
715	5210	2066
716	5217	2059
717	5226	2052
718	5233	2045
719	5241	2038
720	5248	2030
721	5256	2023
722	5263	2016
723	5271	2009
724	5278	2002
725	5285	1994
726	5293	1987
727	5300	1980
728	5310	1974
729	5317	1966
730	5325	1959
731	5332	1952
732	5341	1945
733	5347	1938
734	5356	1931
735	5364	1924
736	5372	1917
737	5379	1909
738	5388	1903
739	5395	1895
740	5403	1888
741	5410	1881
742	5418	1874
743	5426	1867
744	5433	1859
745	5440	1852
746	5447	1844
747	5455	1838
748	5462	1830
749	5470	1823
750	5477	1815
751	5485	1808
752	5492	1801
753	5499	1794
754	5506	1786
755	5513	1779
756	5520	1772
757	5527	1764
758	5535	1757
759	5541	1750
760	5549	1742
761	5556	1735
762	5563	1728
763	5570	1720
764	5577	1713
765	5584	1706
766	5591	1698
767	5603	1692
768	5609	1685
769	5617	1677
770	5623	1670
771	5631	1663
772	5638	1655
773	5645	1648
774	5652	1640
775	5658	1633
776	5666	1626
777	5674	1619
778	5682	1612
779	5689	1604
780	5698	1598
781	5712	1592
782	5748	1593
783	5757	1586
784	5767	1579
785	5777	1573
786	5786	1566
787	5796	1559
788	5805	1552
789	5814	1545
790	5821	1538
791	5831	1531
792	5843	1525
793	5859	1520
794	5869	1513
795	5881	1507
796	5888	1499
797	5898	1493
798	5908	1486
799	5916	1479
800	5925	1472
801	5936	1465
802	5952	1460
803	5963	1453
804	5976	1447
805	5983	1440
806	5992	1433
807	6001	1426
808	6073	1433
809	6082	1426
810	6093	1420
811	6106	1413
812	6115	1406
813	6123	1399
